position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	2.48e-05	1	3.03645e-07	7.3374e-05	0.999927
N/A	2.48e-05	1	1.21899e-07	5.69546e-05	0.999943
N/A	2.48e-05	1	2.5114e-07	0.00024098	0.999759
N/A	2.48e-05	1	1.93406e-07	2.87887e-06	0.999997
N/A	2.48e-05	0.999999	5.12487e-07	0.000547111	0.999453
N/A	2.48e-05	1	3.64706e-07	1.4404e-05	0.999986
N/A	2.48e-05	1	1.74644e-07	0.000371879	0.999628
N/A	2.48e-05	1	1.22657e-07	5.24431e-06	0.999995
N/A	2.48e-05	1	1.97155e-07	0.000414426	0.999586
N/A	2.48e-05	1	1.33804e-07	0.0014107	0.998589
N/A	2.48e-05	1	1.07772e-07	4.48063e-05	0.999955
N/A	2.48e-05	0.999999	5.51956e-07	0.000132481	0.999868
N/A	2.48e-05	1	2.51815e-07	0.00695586	0.993044
N/A	2.48e-05	1	2.29044e-07	1.0154e-05	0.99999
N/A	2.48e-05	1	1.64276e-07	0.00846277	0.991537
N/A	2.48e-05	1	2.84517e-07	0.000190929	0.999809
N/A	2.48e-05	1	1.51571e-07	0.000245085	0.999755
N/A	2.48e-05	1	1.61649e-07	0.000329727	0.99967
N/A	2.48e-05	1	3.02585e-07	1.79622e-07	1
N/A	2.48e-05	1	2.19478e-07	0.00133202	0.998668
N/A	2.48e-05	1	3.14838e-07	4.74339e-05	0.999953
N/A	2.48e-05	1	1.04799e-07	1.43322e-07	1
N/A	2.48e-05	1	1.08433e-07	0.000814825	0.999185
N/A	2.48e-05	1	1.62096e-07	0.00809969	0.9919
N/A	2.48e-05	1	1.0771e-07	6.518e-07	0.999999
N/A	2.48e-05	1	2.57034e-07	0.000389387	0.999611
N/A	2.48e-05	1	1.93761e-07	1.04842e-06	0.999999
N/A	2.48e-05	1	1.22071e-07	5.17457e-05	0.999948
N/A	2.48e-05	1	2.093e-07	1.53544e-05	0.999985
N/A	2.48e-05	1	1.38564e-07	3.25949e-07	1
N/A	2.48e-05	1	1.0426e-07	0.000869795	0.99913
N/A	2.48e-05	1	1.58896e-07	1.03921e-07	1
N/A	2.48e-05	1	3.33556e-07	0.00286818	0.997132
N/A	2.48e-05	1	2.34659e-07	0.00565039	0.99435
N/A	2.48e-05	1	1.05853e-07	0.000102934	0.999897
N/A	2.48e-05	1	1.57971e-07	1.59875e-07	1
N/A	2.48e-05	1	2.19776e-07	0.000305147	0.999695
N/A	2.48e-05	1	1.13559e-07	1.82851e-06	0.999998
N/A	2.48e-05	1	2.99504e-07	0.000111225	0.999889
N/A	2.48e-05	1	1.05266e-07	0.00154111	0.998459
N/A	2.48e-05	1	1.61491e-07	0.0010974	0.998903
N/A	2.48e-05	1	1.68512e-07	1.00936e-06	0.999999
N/A	2.48e-05	1	1.77258e-07	3.0065e-07	1
N/A	2.48e-05	1	2.77978e-07	1.14332e-07	1
N/A	2.48e-05	1	2.28482e-07	0.000129051	0.999871
N/A	2.48e-05	1	2.92558e-07	0.00165991	0.99834
N/A	2.48e-05	1	2.49331e-07	2.9581e-07	1
N/A	2.48e-05	1	1.25594e-07	4.03805e-06	0.999996
